,0
0,35
1,15
2,7
3,5
4,3
5,6
6,2
7,1
8,0
9,19
10,64
11,84
12,85
13,97
14,89
15,88
16,93
17,98
18,100
19,103
20,110
21,129
22,155
23,160
24,162
25,163
26,168
27,175
28,181
29,193
30,189
31,186
32,182
33,185
34,178
35,171
36,173
37,172
38,174
39,164
40,167
41,179
42,177
43,180
44,176
45,183
46,188
47,191
48,190
49,187
50,192
51,184
52,159
53,165
54,170
55,169
56,166
57,161
58,158
59,157
60,154
61,150
62,146
63,151
64,152
65,156
66,153
67,149
68,143
69,140
70,138
71,137
72,141
73,145
74,148
75,144
76,139
77,136
78,133
79,131
80,126
81,124
82,125
83,113
84,108
85,112
86,118
87,121
88,117
89,105
90,104
91,106
92,107
93,115
94,116
95,120
96,128
97,130
98,135
99,147
100,142
101,134
102,132
103,127
104,123
105,122
106,119
107,114
108,111
109,109
110,99
111,83
112,72
113,66
114,65
115,60
116,57
117,55
118,52
119,51
120,47
121,45
122,42
123,46
124,50
125,38
126,33
127,39
128,37
129,40
130,43
131,53
132,54
133,48
134,49
135,41
136,34
137,30
138,31
139,29
140,18
141,14
142,4
143,8
144,9
145,11
146,26
147,36
148,67
149,63
150,69
151,76
152,78
153,80
154,82
155,87
156,91
157,96
158,94
159,95
160,92
161,90
162,102
163,101
164,86
165,75
166,74
167,77
168,71
169,73
170,68
171,59
172,56
173,44
174,28
175,21
176,27
177,32
178,17
179,20
180,23
181,25
182,16
183,13
184,10
185,12
186,22
187,24
188,70
189,79
190,81
191,61
192,58
193,62
194,35
